Date,Close,Volume
07/15/16,96.923904,30137000
07/18/16,97.95417,36493900
07/19/16,97.993423,23779900
07/20/16,98.081734,26276000
07/21/16,97.561691,32702000
07/22/16,96.80616,28313700
07/25/16,95.510956,40382900
07/26/16,94.853554,56239800
07/27/16,101.015549,92344800
07/28/16,102.379417,39869800
07/29/16,102.251869,27733700
08/01/16,104.057297,38167900
08/02/16,102.5168,33816600
08/03/16,103.802185,30202600
08/04/16,104.443428,27408700
08/05/16,106.031723,40553400
08/08/16,106.909737,28037200
08/09/16,107.343811,26315200
08/10/16,106.544724,24008500
08/11/16,106.475662,27484500
08/12/16,106.722298,18660400
08/15/16,108.004776,25868200
08/16/16,107.90612,33794400
08/17/16,107.748291,25356000
08/18/16,107.610176,21984700
08/19/16,107.886398,25368100
08/22/16,107.047852,25820200
08/23/16,107.383263,21257700
08/24/16,106.574318,23675100
08/25/16,106.120514,25086200
08/26/16,105.499008,27766300
08/29/16,105.380623,24970300
08/30/16,104.571663,24863900
08/31/16,104.670319,29662400
09/01/16,105.29184,26701500
09/02/16,106.278366,26802500
09/06/16,106.248756,26880400
09/07/16,106.899872,42364300
09/08/16,104.098145,53002000
09/09/16,101.740341,46557000
09/12/16,104.019218,45292800
09/13/16,106.495399,62176200
09/14/16,110.263916,110888700
09/15/16,114.012718,89983600
09/16/16,113.371475,79886900
09/19/16,112.04953,47023000
09/20/16,112.039665,34514300
09/21/16,112.019936,36003200
09/22/16,113.075523,31074000
09/23/16,111.191254,52481200
09/26/16,111.358955,29869400
09/27/16,111.566124,24607400
09/28/16,112.414543,29641100
09/29/16,110.668396,35887000
09/30/16,111.52668,36379100
10/03/16,111.003807,21701800
10/04/16,111.477348,29736800
10/05/16,111.52668,21453100
10/06/16,112.355354,28779300
10/07/16,112.523064,24358400
10/10/16,114.486252,36236000
10/11/16,114.73288,64041000
10/12/16,115.758865,37586800
10/13/16,115.403717,35192400
10/14/16,116.04496,35652200
10/17/16,115.966042,23624900
10/18/16,115.887123,24553500
10/19/16,115.541832,20034600
10/20/16,115.482635,24125800
10/21/16,115.028831,23192700
10/24/16,116.064682,23538700
10/25/16,116.656609,48129000
10/26/16,114.032448,66134200
10/27/16,112.937408,34562000
10/28/16,112.187653,37861700
10/31/16,112.010071,26419400
11/01/16,109.987694,43825800
11/02/16,110.086349,28331700
11/03/16,108.906357,26932600
11/04/16,107.924675,30837000
11/07/16,109.481483,32560000
11/08/16,110.126007,24054500
11/09/16,109.947525,59176400
11/10/16,106.883514,57134500
11/11/16,107.518127,34094100
11/14/16,104.820999,51175500
11/15/16,106.209229,32264500
11/16/16,109.065002,58840500
11/17/16,109.025345,27632000
11/18/16,109.134422,28428900
11/21/16,110.790382,29264600
