Date,Close,Volume
07/15/16,735.630005,1617100
07/18/16,753.200012,1934900
07/19/16,753.409973,1521800
07/20/16,757.080017,1125100
07/21/16,754.409973,953100
07/22/16,759.280029,1046000
07/25/16,757.52002,1073300
07/26/16,757.650024,1189600
07/27/16,761.969971,1608600
07/28/16,765.840027,3673200
07/29/16,791.340027,5090500
08/01/16,800.940002,3029700
08/02/16,800.119995,1996400
08/03/16,798.919983,1460300
08/04/16,797.25,1076000
08/05/16,806.929993,1807300
08/08/16,805.22998,1221300
08/09/16,807.47998,1607700
08/10/16,808.48999,918500
08/11/16,808.200012,1282300
08/12/16,807.049988,897300
08/15/16,805.960022,929800
08/16/16,801.190002,1057900
08/17/16,805.419983,1066100
08/18/16,802.75,864600
08/19/16,799.650024,1120800
08/22/16,796.950012,852800
08/23/16,796.590027,917500
08/24/16,793.599976,1283600
08/25/16,791.299988,1202700
08/26/16,793.219971,1248900
08/29/16,795.820007,773700
08/30/16,791.919983,1167400
08/31/16,789.849976,1071400
09/01/16,791.400024,1303500
09/02/16,796.869995,1349900
09/06/16,808.02002,1989500
09/07/16,807.98999,1145300
09/08/16,802.840027,1177700
09/09/16,788.47998,1887600
09/12/16,798.820007,1863700
09/13/16,788.719971,1809000
09/14/16,790.460022,1292100
09/15/16,801.22998,1557200
09/16/16,797.969971,2130600
09/19/16,795.390015,1149500
09/20/16,799.780029,1049200
09/21/16,805.030029,1348500
09/22/16,815.950012,1759300
09/23/16,814.960022,1411700
09/26/16,802.650024,1472700
09/27/16,810.72998,1367300
09/28/16,810.059998,1470300
09/29/16,802.640015,1350000
09/30/16,804.059998,1660200
10/03/16,800.380005,1489200
10/04/16,802.789978,1258700
10/05/16,801.22998,1213800
10/06/16,803.080017,1099900
10/07/16,800.710022,1163100
10/10/16,814.169983,1496100
10/11/16,809.570007,1721600
10/12/16,811.77002,907900
10/13/16,804.080017,1369000
10/14/16,804.599976,1111900
10/17/16,806.840027,1056400
10/18/16,821.48999,2289300
10/19/16,826.840027,1500100
10/20/16,821.630005,1393900
10/21/16,824.059998,1615800
10/24/16,835.73999,1447600
10/25/16,828.549988,1890700
10/26/16,822.099976,1794900
10/27/16,817.349976,2973500
10/28/16,819.559998,4354900
10/31/16,809.900024,2242700
11/01/16,805.47998,2355900
11/02/16,788.419983,2350700
11/03/16,782.190002,2175200
11/04/16,781.099976,1970600
11/07/16,802.030029,1992600
11/08/16,811.97998,1754700
11/09/16,805.590027,3098500
11/10/16,780.289978,5909600
11/11/16,771.75,3587700
11/14/16,753.219971,3688300
11/15/16,775.159973,2943900
11/16/16,779.97998,1798400
11/17/16,786.159973,1533700
11/18/16,775.969971,1806300
11/21/16,784.799988,1630800
11/22/16,785,1394200
11/23/16,779,1313000
11/25/16,780.22998,613500
11/28/16,785.789978,2575400
